image_id,split,image_path,relative_image_path,group_new_id,group_id,source_partner,dataset,folder,x,y,z,image_no,is_expert_best,reference_score,reference_level,quality_score,quality_level,label_source,source_note,source_image_path,source_table
G0001_2C9C41_Z01,test,D:\Microscopic Image\iqa_dataset_expert_best_standard_split\test\images\G0001_2C9C41\G0001_2C9C41_Z01.tif,test/images/G0001_2C9C41/G0001_2C9C41_Z01.tif,G0001_2C9C41,2022-01-12-New01_2_39366_51679,partner_A,2022-01-12-New01,2,39366,51679,1378878,1,False,50.0,差,64.3,差,expert_best_prior+objective_metrics+human_qc,与参考焦面评分基本一致,D:\Microscopic Image\expert_best_standard\partner_A\groups\2022-01-12-New01_2_39366_51679\01_z1378878_ref50_差.tif,D:\Microscopic Image\expert_best_standard\partner_A\partner_A_annotation_table_simplified.csv
G0001_2C9C41_Z02,test,D:\Microscopic Image\iqa_dataset_expert_best_standard_split\test\images\G0001_2C9C41\G0001_2C9C41_Z02.tif,test/images/G0001_2C9C41/G0001_2C9C41_Z02.tif,G0001_2C9C41,2022-01-12-New01_2_39366_51679,partner_A,2022-01-12-New01,2,39366,51679,1378928,2,False,62.0,差,72.0,中,expert_best_prior+objective_metrics+human_qc,与参考焦面评分基本一致,D:\Microscopic Image\expert_best_standard\partner_A\groups\2022-01-12-New01_2_39366_51679\02_z1378928_ref62_差.tif,D:\Microscopic Image\expert_best_standard\partner_A\partner_A_annotation_table_simplified.csv
G0001_2C9C41_Z03,test,D:\Microscopic Image\iqa_dataset_expert_best_standard_split\test\images\G0001_2C9C41\G0001_2C9C41_Z03.tif,test/images/G0001_2C9C41/G0001_2C9C41_Z03.tif,G0001_2C9C41,2022-01-12-New01_2_39366_51679,partner_A,2022-01-12-New01,2,39366,51679,1378978,3,False,74.0,中,80.3,良,expert_best_prior+objective_metrics+human_qc,与参考焦面评分基本一致,D:\Microscopic Image\expert_best_standard\partner_A\groups\2022-01-12-New01_2_39366_51679\03_z1378978_ref74_中.tif,D:\Microscopic Image\expert_best_standard\partner_A\partner_A_annotation_table_simplified.csv
G0001_2C9C41_Z04,test,D:\Microscopic Image\iqa_dataset_expert_best_standard_split\test\images\G0001_2C9C41\G0001_2C9C41_Z04.tif,test/images/G0001_2C9C41/G0001_2C9C41_Z04.tif,G0001_2C9C41,2022-01-12-New01_2_39366_51679,partner_A,2022-01-12-New01,2,39366,51679,1379028,4,False,82.0,良,84.9,良,expert_best_prior+objective_metrics+human_qc,与参考焦面评分基本一致,D:\Microscopic Image\expert_best_standard\partner_A\groups\2022-01-12-New01_2_39366_51679\04_z1379028_ref82_良.tif,D:\Microscopic Image\expert_best_standard\partner_A\partner_A_annotation_table_simplified.csv
G0001_2C9C41_Z05,test,D:\Microscopic Image\iqa_dataset_expert_best_standard_split\test\images\G0001_2C9C41\G0001_2C9C41_Z05.tif,test/images/G0001_2C9C41/G0001_2C9C41_Z05.tif,G0001_2C9C41,2022-01-12-New01_2_39366_51679,partner_A,2022-01-12-New01,2,39366,51679,1379078,5,False,90.0,优,93.6,优,expert_best_prior+objective_metrics+human_qc,与参考焦面评分基本一致,D:\Microscopic Image\expert_best_standard\partner_A\groups\2022-01-12-New01_2_39366_51679\05_z1379078_ref90_优.tif,D:\Microscopic Image\expert_best_standard\partner_A\partner_A_annotation_table_simplified.csv
G0001_2C9C41_Z06,test,D:\Microscopic Image\iqa_dataset_expert_best_standard_split\test\images\G0001_2C9C41\G0001_2C9C41_Z06.tif,test/images/G0001_2C9C41/G0001_2C9C41_Z06.tif,G0001_2C9C41,2022-01-12-New01_2_39366_51679,partner_A,2022-01-12-New01,2,39366,51679,1379128,6,True,100.0,优,98.6,优,expert_best_prior+objective_metrics+human_qc,与参考焦面评分基本一致,D:\Microscopic Image\expert_best_standard\partner_A\groups\2022-01-12-New01_2_39366_51679\06_z1379128_ref100_优.tif,D:\Microscopic Image\expert_best_standard\partner_A\partner_A_annotation_table_simplified.csv
G0001_2C9C41_Z07,test,D:\Microscopic Image\iqa_dataset_expert_best_standard_split\test\images\G0001_2C9C41\G0001_2C9C41_Z07.tif,test/images/G0001_2C9C41/G0001_2C9C41_Z07.tif,G0001_2C9C41,2022-01-12-New01_2_39366_51679,partner_A,2022-01-12-New01,2,39366,51679,1379178,7,False,90.0,优,97.0,优,expert_best_prior+objective_metrics+human_qc,与参考焦面评分基本一致,D:\Microscopic Image\expert_best_standard\partner_A\groups\2022-01-12-New01_2_39366_51679\07_z1379178_ref90_优.tif,D:\Microscopic Image\expert_best_standard\partner_A\partner_A_annotation_table_simplified.csv
G0001_2C9C41_Z08,test,D:\Microscopic Image\iqa_dataset_expert_best_standard_split\test\images\G0001_2C9C41\G0001_2C9C41_Z08.tif,test/images/G0001_2C9C41/G0001_2C9C41_Z08.tif,G0001_2C9C41,2022-01-12-New01_2_39366_51679,partner_A,2022-01-12-New01,2,39366,51679,1379228,8,False,82.0,良,88.1,良,expert_best_prior+objective_metrics+human_qc,与参考焦面评分基本一致,D:\Microscopic Image\expert_best_standard\partner_A\groups\2022-01-12-New01_2_39366_51679\08_z1379228_ref82_良.tif,D:\Microscopic Image\expert_best_standard\partner_A\partner_A_annotation_table_simplified.csv
G0001_2C9C41_Z09,test,D:\Microscopic Image\iqa_dataset_expert_best_standard_split\test\images\G0001_2C9C41\G0001_2C9C41_Z09.tif,test/images/G0001_2C9C41/G0001_2C9C41_Z09.tif,G0001_2C9C41,2022-01-12-New01_2_39366_51679,partner_A,2022-01-12-New01,2,39366,51679,1379278,9,False,74.0,中,76.4,中,expert_best_prior+objective_metrics+human_qc,与参考焦面评分基本一致,D:\Microscopic Image\expert_best_standard\partner_A\groups\2022-01-12-New01_2_39366_51679\09_z1379278_ref74_中.tif,D:\Microscopic Image\expert_best_standard\partner_A\partner_A_annotation_table_simplified.csv
G0001_2C9C41_Z10,test,D:\Microscopic Image\iqa_dataset_expert_best_standard_split\test\images\G0001_2C9C41\G0001_2C9C41_Z10.tif,test/images/G0001_2C9C41/G0001_2C9C41_Z10.tif,G0001_2C9C41,2022-01-12-New01_2_39366_51679,partner_A,2022-01-12-New01,2,39366,51679,1379328,10,False,62.0,差,71.2,中,expert_best_prior+objective_metrics+human_qc,与参考焦面评分基本一致,D:\Microscopic Image\expert_best_standard\partner_A\groups\2022-01-12-New01_2_39366_51679\10_z1379328_ref62_差.tif,D:\Microscopic Image\expert_best_standard\partner_A\partner_A_annotation_table_simplified.csv
