image_id,group_id,dataset,folder,x,y,z,image_no,image_path,best_z,is_best,signed_z_offset,z_offset,signed_z_distance,z_distance,z_prior_score,read_error,signal,snr,sharpness,contrast,saturation,background,background_std,foreground_ratio,signal_utility,snr_utility,sharpness_utility,contrast_utility,saturation_utility,background_utility,objective_score,objective_level,combined_score,combined_level,score_method_version
2022-01-12-New01_2_39366_51679_Z01,2022-01-12-New01_2_39366_51679,2022-01-12-New01,2,39366,51679,1378878,1,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-15-46.853-39366,51679,1378878.tif",1379128,False,-250,250,-5,5,50.0,,48.14110565185547,39.585911525035954,21.687350373927046,24.483552565154444,0.0,18.36623764038086,1.2161171436309814,0.36106004901960786,0.0,0.0,10.0,0.0,50.0,0.0,10.0,异常,38.0,异常,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_51679_Z02,2022-01-12-New01_2_39366_51679,2022-01-12-New01,2,39366,51679,1378928,2,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-15-45.674-39366,51679,1378928.tif",1379128,False,-200,200,-4,4,62.0,,50.36891174316406,50.36891174316406,31.739719151558614,32.26849365234375,0.0,18.100418090820312,0.9535419940948486,0.3433670343137255,40.0,40.0,40.0,40.0,50.0,30.0,40.0,异常,55.4,差,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_51679_Z03,2022-01-12-New01_2_39366_51679,2022-01-12-New01,2,39366,51679,1378978,3,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-15-44.470-39366,51679,1378978.tif",1379128,False,-150,150,-3,3,74.0,,52.053802490234375,52.053802490234375,45.89387883055404,34.137372970581055,0.0,17.91642951965332,0.7114603519439697,0.338449116625817,50.0,50.0,50.0,50.0,50.0,80.0,55.0,差,68.3,差,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_51679_Z04,2022-01-12-New01_2_39366_51679,2022-01-12-New01,2,39366,51679,1379028,4,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-15-43.266-39366,51679,1379028.tif",1379128,False,-100,100,-2,2,82.0,,53.04429244995117,53.04429244995117,59.35994218412396,35.19454002380371,0.0,17.84975242614746,0.7232106328010559,0.3178136488970588,60.0,60.0,60.0,60.0,50.0,100.0,65.0,差,76.9,中,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_51679_Z05,2022-01-12-New01_2_39366_51679,2022-01-12-New01,2,39366,51679,1379078,5,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-15-42.101-39366,51679,1379078.tif",1379128,False,-50,50,-1,1,90.0,,55.916969299316406,55.916969299316406,83.33655535211007,37.92701721191406,0.0,17.989952087402344,0.687875509262085,0.3146701388888889,100.0,100.0,80.0,100.0,50.0,40.0,78.33333333333333,中,86.5,良,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_51679_Z06,2022-01-12-New01_2_39366_51679,2022-01-12-New01,2,39366,51679,1379128,6,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-15-40.695-39366,51679,1379128.tif",1379128,True,0,0,0,0,100.0,,55.369476318359375,55.369476318359375,104.62174141907649,37.45797157287598,0.0,17.9115047454834,0.7021420001983643,0.3062034058415033,80.0,80.0,90.0,80.0,50.0,90.0,78.33333333333333,中,93.5,优,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_51679_Z07,2022-01-12-New01_2_39366_51679,2022-01-12-New01,2,39366,51679,1379178,7,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-15-39.491-39366,51679,1379178.tif",1379128,False,50,50,1,1,90.0,,55.60710144042969,55.60710144042969,106.91751095522538,37.6234188079834,0.0,17.98368263244629,0.6820815801620483,0.3132180606617647,90.0,90.0,100.0,90.0,50.0,50.0,78.33333333333333,中,86.5,良,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_51679_Z08,2022-01-12-New01_2_39366_51679,2022-01-12-New01,2,39366,51679,1379228,8,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-15-38.366-39366,51679,1379228.tif",1379128,False,100,100,2,2,82.0,,53.66790008544922,53.66790008544922,67.09765257255012,35.70279312133789,0.0,17.965106964111328,0.6820006966590881,0.32511552798202614,70.0,70.0,70.0,70.0,50.0,60.0,65.0,差,76.9,中,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_51679_Z09,2022-01-12-New01_2_39366_51679,2022-01-12-New01,2,39366,51679,1379278,9,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-15-37.266-39366,51679,1379278.tif",1379128,False,150,150,3,3,74.0,,49.7175178527832,49.7175178527832,29.393008434531772,31.795499801635742,0.0,17.92201805114746,0.686127245426178,0.35641659007352944,20.0,20.0,30.0,30.0,50.0,70.0,36.666666666666664,异常,62.8,差,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_51679_Z10,2022-01-12-New01_2_39366_51679,2022-01-12-New01,2,39366,51679,1379328,10,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-15-36.220-39366,51679,1379328.tif",1379128,False,200,200,4,4,62.0,,49.91691589355469,49.91691589355469,25.94531439083891,31.7408390045166,0.0,18.176076889038086,0.8534800410270691,0.3568410437091503,30.0,30.0,20.0,20.0,50.0,20.0,28.333333333333332,异常,51.9,差,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_51679_Z11,2022-01-12-New01_2_39366_51679,2022-01-12-New01,2,39366,51679,1379378,11,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-15-35.001-39366,51679,1379378.tif",1379128,False,250,250,5,5,50.0,,48.310909271240234,48.310909271240234,20.681621389338535,29.969614028930664,0.0,18.34129524230957,0.8196967840194702,0.3895558874591503,10.0,10.0,0.0,10.0,50.0,10.0,15.0,异常,39.5,异常,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52037_Z01,2022-01-12-New01_2_39366_52037,2022-01-12-New01,2,39366,52037,1378878,1,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-14-50.862-39366,52037,1378878.tif",1379278,False,-400,400,-8,8,50.0,,50.8039436340332,16.248636321142385,26.16003490396168,8.08498540279902,0.0,25.524951934814453,3.1266589164733887,0.2843584048202614,10.0,10.0,0.0,10.0,50.0,70.0,25.0,异常,42.5,异常,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52037_Z02,2022-01-12-New01_2_39366_52037,2022-01-12-New01,2,39366,52037,1378928,2,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-14-49.641-39366,52037,1378928.tif",1379278,False,-350,350,-7,7,50.0,,50.7468376159668,15.994715711755001,26.357499266297197,8.005742981297438,0.0,25.34681510925293,3.172725200653076,0.2704503676470588,0.0,0.0,10.0,0.0,50.0,100.0,26.666666666666668,异常,43.0,异常,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52037_Z03,2022-01-12-New01_2_39366_52037,2022-01-12-New01,2,39366,52037,1378978,3,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-14-48.266-39366,52037,1378978.tif",1379278,False,-300,300,-6,6,50.0,,52.18964767456055,16.64394227231423,28.3766421960574,8.520617611754115,0.0,25.47193717956543,3.1356542110443115,0.28247229881535946,20.0,20.0,20.0,20.0,50.0,90.0,36.666666666666664,异常,46.0,异常,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52037_Z04,2022-01-12-New01_2_39366_52037,2022-01-12-New01,2,39366,52037,1379028,4,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-14-47.141-39366,52037,1379028.tif",1379278,False,-250,250,-5,5,50.0,,52.76405715942383,16.92946977834644,29.629351543435533,8.739856592318064,0.0,25.52455711364746,3.116698741912842,0.28511795343137253,30.0,30.0,30.0,30.0,50.0,80.0,41.666666666666664,异常,47.5,异常,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52037_Z05,2022-01-12-New01_2_39366_52037,2022-01-12-New01,2,39366,52037,1379078,5,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-14-45.763-39366,52037,1379078.tif",1379278,False,-200,200,-4,4,62.0,,53.68094253540039,17.445384102394556,31.143159509210232,9.10193206646742,0.0,25.67351722717285,3.0770857334136963,0.29265280330882354,40.0,40.0,40.0,40.0,50.0,60.0,45.0,异常,56.9,差,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52037_Z06,2022-01-12-New01_2_39366_52037,2022-01-12-New01,2,39366,52037,1379128,6,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-14-44.611-39366,52037,1379128.tif",1379278,False,-150,150,-3,3,74.0,,54.675472259521484,18.069848691137803,35.88061318995211,9.52905103836472,0.0,25.842615127563477,3.025784730911255,0.29316023284313725,50.0,50.0,50.0,50.0,50.0,50.0,50.0,差,66.8,差,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52037_Z07,2022-01-12-New01_2_39366_52037,2022-01-12-New01,2,39366,52037,1379178,7,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-14-43.286-39366,52037,1379178.tif",1379278,False,-100,100,-2,2,82.0,,55.02997970581055,18.589014099344055,38.49716533943023,9.770848491125514,0.0,26.1048526763916,2.9603495597839355,0.31191278594771243,60.0,90.0,60.0,80.0,50.0,40.0,63.333333333333336,差,76.4,中,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52037_Z08,2022-01-12-New01_2_39366_52037,2022-01-12-New01,2,39366,52037,1379228,8,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-14-42.161-39366,52037,1379228.tif",1379278,False,-50,50,-1,1,90.0,,55.249000549316406,18.844302709637294,38.62888022102091,9.89339053035404,0.0,26.242889404296875,2.9318675994873047,0.3101671006944444,70.0,100.0,70.0,90.0,50.0,30.0,68.33333333333333,差,83.5,良,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52037_Z09,2022-01-12-New01_2_39366_52037,2022-01-12-New01,2,39366,52037,1379278,9,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-14-40.890-39366,52037,1379278.tif",1379278,True,0,0,0,0,100.0,,59.444427490234375,18.113846215096256,42.99425167542412,9.692622280885216,0.0,27.636032104492188,3.281712055206299,0.2919028288398693,80.0,60.0,100.0,60.0,50.0,20.0,61.666666666666664,差,88.5,良,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52037_Z10,2022-01-12-New01_2_39366_52037,2022-01-12-New01,2,39366,52037,1379328,10,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-14-39.883-39366,52037,1379328.tif",1379278,False,50,50,1,1,90.0,,60.04716873168945,18.57717540221546,42.957084788962455,9.937797284795792,0.0,27.925138473510742,3.232308864593506,0.3024439593545752,90.0,80.0,90.0,100.0,50.0,10.0,70.0,中,84.0,良,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52037_Z11,2022-01-12-New01_2_39366_52037,2022-01-12-New01,2,39366,52037,1379378,11,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-14-38.716-39366,52037,1379378.tif",1379278,False,100,100,2,2,82.0,,61.796993255615234,18.219972271687972,41.86119759270441,9.752373084768738,0.0,28.719701766967773,3.3917171955108643,0.272875816993464,100.0,70.0,80.0,70.0,50.0,0.0,61.666666666666664,差,75.9,中,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52395_Z01,2022-01-12-New01_2_39366_52395,2022-01-12-New01,2,39366,52395,1378878,1,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-13-54.816-39366,52395,1378878.tif",1379128,False,-250,250,-5,5,50.0,TiffFileError: not a TIFF file b'$\x1a\x9c\x92',,,,,,,,,,,,,,,,,,,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52395_Z02,2022-01-12-New01_2_39366_52395,2022-01-12-New01,2,39366,52395,1378928,2,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-13-53.782-39366,52395,1378928.tif",1379128,False,-200,200,-4,4,62.0,,30.75,30.75,2414.789256198347,8.292207717895508,0.0,22.457792282104492,0.6668748259544373,0.00014042075163398692,22.22222222222222,33.333333333333336,88.88888888888889,77.77777777777777,50.0,100.0,62.03703703703704,差,62.01111111111111,差,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52395_Z03,2022-01-12-New01_2_39366_52395,2022-01-12-New01,2,39366,52395,1378978,3,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-13-52.749-39366,52395,1378978.tif",1379128,False,-150,150,-3,3,74.0,,37.400001525878906,37.400001525878906,9212.49,14.320196151733398,0.0,23.079805374145508,0.8760334253311157,3.1913807189542485e-05,100.0,100.0,100.0,100.0,50.0,88.88888888888889,89.81481481481482,良,78.74444444444444,中,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52395_Z04,2022-01-12-New01_2_39366_52395,2022-01-12-New01,2,39366,52395,1379028,4,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-13-51.690-39366,52395,1379028.tif",1379128,False,-100,100,-2,2,82.0,,31.720930099487305,31.720930099487305,2236.5029745808542,8.49649429321289,0.0,23.224435806274414,0.8206408619880676,0.00013722937091503268,44.44444444444444,55.55555555555556,77.77777777777777,88.88888888888889,50.0,77.77777777777777,65.74074074074073,差,77.12222222222222,中,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52395_Z05,2022-01-12-New01_2_39366_52395,2022-01-12-New01,2,39366,52395,1379078,5,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-13-50.538-39366,52395,1379078.tif",1379128,False,-50,50,-1,1,90.0,,30.556886672973633,30.556886672973633,566.3217756104558,7.230144500732422,0.0,23.32674217224121,0.7623978853225708,0.0005329605800653594,11.11111111111111,22.22222222222222,55.55555555555556,55.55555555555556,50.0,66.66666666666666,43.51851851851851,异常,76.05555555555554,中,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52395_Z06,2022-01-12-New01_2_39366_52395,2022-01-12-New01,2,39366,52395,1379128,6,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-13-49.491-39366,52395,1379128.tif",1379128,True,0,0,0,0,100.0,,30.31123924255371,30.31123924255371,259.4103763007749,6.922962188720703,0.0,23.388277053833008,0.7129178047180176,0.0011074091094771242,0.0,11.11111111111111,44.44444444444444,11.11111111111111,50.0,55.55555555555556,28.703703703703706,异常,78.61111111111111,中,z_prior_plus_fov_ranked_metrics_v2
2022-01-12-New01_2_39366_52395_Z07,2022-01-12-New01_2_39366_52395,2022-01-12-New01,2,39366,52395,1379178,7,"D:\Microscopic Image\原始数据集\2022-01-12-New01\2\2022-01-12-12-13-48.458-39366,52395,1379178.tif",1379128,False,50,50,1,1,90.0,,31.726316452026367,31.726316452026367,856.142493074792,7.646427154541016,0.0,24.07988929748535,0.9112607836723328,0.0003031811683006536,55.55555555555556,66.66666666666667,66.66666666666667,66.66666666666667,50.0,44.44444444444444,58.33333333333334,差,80.5,良,z_prior_plus_fov_ranked_metrics_v2
